Position,Coverage
229,1890.00
230,1890.00
231,1890.00
232,1890.00
233,1890.00
234,1890.00
235,1890.00
236,1890.00
237,1890.00
238,1890.00
239,1892.00
240,1893.00
241,1894.00
242,1894.00
243,1893.00
244,1893.00
245,1893.00
246,1893.00
247,1893.00
248,1892.00
249,1892.00
250,1891.00
251,1893.00
252,1893.00
253,1893.00
254,1893.00
255,1893.00
256,1893.00
257,1893.00
258,1893.00
259,1893.00
260,1893.00
261,1893.00
262,1893.00
263,1893.00
264,1893.00
265,1893.00
266,1893.00
267,1893.00
268,1893.00
269,1893.00
270,1893.00
271,1893.00
272,1893.00
273,1893.00
274,1893.00
275,1893.00
276,1893.00
277,1894.00
278,1893.00
279,1893.00
280,1893.00
281,1894.00
282,1894.00
283,1895.00
284,1894.00
285,1894.00
286,1893.00
287,1893.00
288,1894.00
289,1894.00
290,1894.00
291,1892.00
292,1892.00
293,1892.00
294,1892.00
295,1893.00
296,1893.00
297,1894.00
298,1894.00
299,1894.00
300,1894.00
301,1894.00
302,1894.00
303,1894.00
304,1893.00
305,1893.00
306,1893.00
307,1893.00
308,1893.00
309,1892.00
310,1892.00
311,1892.00
312,1892.00
313,1891.00
314,1891.00
315,1891.00
316,1891.00
317,1892.00
318,1891.00
319,1891.00
320,1890.00
321,1890.00
322,1889.00
323,1889.00
324,1890.00
325,1890.00
326,1890.00
327,1891.00
328,1891.00
329,1891.00
330,1892.00
331,1892.00
332,1892.00
333,1892.00
334,1892.00
335,1892.00
336,1893.00
337,1893.00
338,1892.00
339,1893.00
340,1893.00
341,1894.00
342,1894.00
343,1894.00
344,1895.00
345,1895.00
346,1895.00
347,1895.00
348,1895.00
349,1894.00
350,1894.00
351,1894.00
352,1895.00
353,1895.00
354,1895.00
355,1895.00
356,1895.00
357,1895.00
358,1894.00
359,1894.00
360,1894.00
361,1894.00
362,1894.00
363,1893.00
364,1892.00
365,1892.00
366,1891.00
367,1892.00
368,1892.00
369,1892.00
370,1892.00
371,1892.00
372,1891.00
373,1891.00
374,1892.00
375,1893.00
376,1893.00
377,1893.00
378,1893.00
379,1894.00
380,1894.00
381,1894.00
382,1894.00
383,1895.00
384,1895.00
385,1895.00
386,1895.00
387,1895.00
388,1895.00
389,1895.00
390,1895.00
391,1895.00
392,1895.00
393,1895.00
394,1895.00
395,1895.00
396,1895.00
397,1895.00
398,1896.00
399,1895.00
400,1895.00
401,1895.00
402,1895.00
403,1894.00
404,1894.00
405,1894.00
406,1894.00
407,1894.00
408,1894.00
409,1894.00
410,1894.00
411,1894.00
412,1893.00
413,1892.00
414,1892.00
415,1892.00
416,1892.00
417,1891.00
418,1891.00
419,1890.00
420,1890.00
421,1889.00
422,1889.00
423,1889.00
424,1889.00
425,1889.00
426,1889.00
427,1888.00
428,1888.00
429,1888.00
430,1887.00
431,1888.00
432,1888.00
433,1888.00
434,1888.00
435,1888.00
436,1887.00
437,1887.00
438,1887.00
439,1887.00
440,1887.00
441,1887.00
442,1887.00
443,1887.00
444,1887.00
445,1887.00
446,1887.00
447,1887.00
448,1887.00
449,1888.00
450,1886.00
451,1886.00
452,1886.00
453,1886.00
454,1887.00
455,1887.00
456,1888.00
457,1888.00
458,1888.00
459,1888.00
460,1887.00
461,1887.00
462,1888.00
463,1888.00
464,1888.00
465,1888.00
466,1888.00
467,1888.00
468,1888.00
469,1889.00
470,1890.00
471,1890.00
472,1890.00
473,1889.00
474,1889.00
475,1889.00
476,1889.00
477,1889.00
478,1892.00
479,1892.00
480,1892.00
481,1891.00
482,1891.00
483,1891.00
484,1890.00
485,1890.00
486,1890.00
487,1890.00
488,1890.00
489,1890.00
490,1890.00
491,1890.00
492,1890.00
493,1890.00
494,1890.00
495,1889.00
496,1889.00
497,1889.00
498,1889.00
499,1889.00
500,1891.00
501,1892.00
502,1892.00
503,1892.00
504,1892.00
505,1892.00
506,1892.00
507,1892.00
508,1892.00
509,1892.00
510,1891.00
511,1891.00
512,1891.00
513,1890.00
514,1890.00
515,1890.00
516,1890.00
517,1891.00
518,1891.00
519,1891.00
520,1891.00
521,1890.00
522,1891.00
523,1891.00
524,1891.00
525,1892.00
526,1892.00
527,1892.00
528,1891.00
529,1892.00
530,1891.00
531,1892.00
532,1892.00
533,1893.00
534,1893.00
535,1892.00
536,1892.00
537,1892.00
538,1892.00
539,1892.00
540,1892.00
541,1892.00
542,1892.00
543,1892.00
544,1892.00
545,1892.00
546,1891.00
547,1891.00
548,1891.00
549,1891.00
550,1892.00
551,1892.00
552,1892.00
553,1892.00
554,1892.00
555,1892.00
556,1892.00
557,1892.00
558,1892.00
559,1892.00
560,1892.00
561,1893.00
562,1893.00
563,1895.00
564,1895.00
565,1895.00
566,1895.00
567,1894.00
568,1894.00
569,1893.00
570,1893.00
571,1893.00
572,1893.00
573,1893.00
574,1893.00
575,1893.00
576,1893.00
577,1893.00
578,1892.00
579,1893.00
580,1892.00
581,1892.00
582,1892.00
583,1892.00
584,1893.00
585,1893.00
586,1894.00
587,1894.00
588,1894.00
589,1895.00
590,1895.00
591,1896.00
592,1896.00
593,1896.00
594,1896.00
595,1897.00
596,1896.00
597,1895.00
598,1895.00
599,1895.00
600,1895.00
601,1895.00
602,1895.00
603,1894.00
604,1894.00
605,1894.00
606,1895.00
607,1897.00
608,1897.00
609,1897.00
610,1897.00
611,1896.00
612,1895.00
613,1895.00
614,1895.00
615,1895.00
616,1895.00
617,1895.00
618,1896.00
619,1896.00
620,1897.00
621,1897.00
622,1898.00
623,1898.00
624,1898.00
625,1898.00
626,1898.00
627,1898.00
628,1898.00
629,1897.00
630,1897.00
631,1897.00
632,1898.00
633,1897.00
634,1897.00
635,1897.00
636,1897.00
637,1897.00
638,1897.00
639,1897.00
640,1896.00
641,1896.00
642,1896.00
643,1897.00
644,1897.00
645,1897.00
646,1897.00
647,1897.00
648,1897.00
649,1897.00
650,1897.00
651,1896.00
652,1895.00
653,1894.00
654,1894.00
655,1895.00
656,1895.00
657,1895.00
658,1894.00
659,1892.00
660,1891.00
661,1891.00
662,1891.00
663,1891.00
664,1891.00
665,1891.00
666,1891.00
667,1891.00
668,1889.00
669,1889.00
670,1889.00
671,1889.00
672,1888.00
673,1888.00
674,1888.00
675,1888.00
676,1887.00
677,1887.00
678,1887.00
679,1887.00
680,1887.00
681,1886.00
682,1887.00
683,1887.00
684,1887.00
685,1887.00
686,1887.00
687,1887.00
688,1888.00
689,1888.00
690,1888.00
691,1886.00
692,1886.00
693,1886.00
694,1886.00
695,1884.00
696,1884.00
697,1885.00
698,1886.00
699,1885.00
700,1885.00
701,1886.00
702,1887.00
703,1888.00
704,1888.00
705,1890.00
706,1890.00
707,1890.00
708,1890.00
709,1890.00
710,1890.00
711,1890.00
712,1890.00
713,1889.00
714,1887.00
715,1887.00
716,1888.00
717,1888.00
718,1889.00
719,1889.00
720,1889.00
721,1889.00
722,1889.00
723,1889.00
724,1888.00
725,1888.00
726,1888.00
727,1889.00
728,1889.00
729,1889.00
730,1889.00
731,1890.00
732,1891.00
733,1891.00
734,1890.00
735,1889.00
736,1890.00
737,1890.00
738,1890.00
739,1890.00
740,1889.00
741,1890.00
742,1891.00
743,1891.00
744,1891.00
745,1891.00
746,1892.00
747,1892.00
748,1892.00
749,1892.00
750,1892.00
751,1892.00
752,1892.00
753,1893.00
754,1893.00
755,1893.00
756,1893.00
757,1894.00
758,1894.00
759,1892.00
760,1890.00
761,1889.00
762,1890.00
763,1891.00
764,1891.00
765,1891.00
766,1891.00
767,1891.00
768,1891.00
769,1892.00
770,1892.00
771,1893.00
772,1893.00
773,1891.00
774,1891.00
775,1891.00
776,1890.00
777,1891.00
778,1891.00
779,1891.00
780,1891.00
781,1890.00
782,1889.00
783,1889.00
784,1890.00
785,1890.00
786,1891.00
787,1891.00
788,1891.00
789,1891.00
790,1890.00
791,1890.00
792,1889.00
793,1889.00
794,1889.00
795,1888.00
796,1888.00
797,1889.00
798,1888.00
799,1888.00
800,1890.00
801,1890.00
802,1890.00
803,1890.00
804,1890.00
805,1888.00
806,1888.00
807,1888.00
808,1888.00
809,1887.00
810,1888.00
811,1888.00
812,1888.00
813,1888.00
814,1887.00
815,1887.00
816,1887.00
817,1887.00
818,1888.00
819,1888.00
820,1888.00
821,1887.00
822,1887.00
823,1885.00
824,1885.00
825,1885.00
826,1886.00
827,1887.00
828,1887.00
829,1887.00
830,1887.00
831,1887.00
832,1887.00
833,1887.00
834,1888.00
835,1888.00
836,1888.00
837,1886.00
838,1887.00
839,1887.00
840,1887.00
841,1887.00
842,1888.00
843,1888.00
844,1888.00
845,1887.00
846,1886.00
847,1886.00
848,1884.00
849,1883.00
850,1883.00
851,1883.00
852,1881.00
853,1881.00
854,1881.00
855,1882.00
856,1882.00
857,1883.00
858,1884.00
859,1884.00
860,1884.00
861,1884.00
862,1884.00
863,1884.00
864,1884.00
865,1884.00
866,1884.00
867,1884.00
868,1883.00
869,1883.00
870,1883.00
871,1883.00
872,1883.00
873,1883.00
874,1882.00
875,1883.00
876,1882.00
877,1882.00
878,1882.00
879,1882.00
880,1882.00
881,1882.00
882,1882.00
883,1883.00
884,1884.00
885,1884.00
886,1883.00
887,1883.00
888,1883.00
889,1883.00
890,1883.00
891,1883.00
892,1882.00
893,1882.00
894,1882.00
895,1882.00
896,1882.00
897,1882.00
898,1882.00
899,1882.00
900,1881.00
901,1881.00
902,1881.00
903,1881.00
904,1881.00
905,1881.00
906,1881.00
907,1881.00
908,1880.00
909,1880.00
910,1880.00
911,1880.00
912,1880.00
913,1880.00
914,1881.00
915,1881.00
916,1881.00
917,1881.00
918,1881.00
919,1881.00
920,1881.00
921,1881.00
922,1881.00
923,1881.00
924,1881.00
925,1881.00
926,1881.00
927,1881.00
928,1881.00
929,1881.00
930,1881.00
931,1882.00
932,1882.00
933,1882.00
934,1882.00
935,1882.00
936,1882.00
937,1882.00
938,1883.00
939,1883.00
940,1883.00
941,1882.00
942,1882.00
943,1882.00
944,1882.00
945,1881.00
946,1883.00
947,1883.00
948,1883.00
949,1883.00
950,1883.00
951,1884.00
952,1884.00
953,1885.00
954,1885.00
955,1884.00
956,1885.00
957,1885.00
958,1885.00
959,1885.00
960,1885.00
961,1885.00
962,1885.00
963,1886.00
964,1885.00
965,1885.00
966,1886.00
967,1885.00
968,1885.00
969,1886.00
970,1886.00
971,1887.00
972,1887.00
973,1887.00
974,1887.00
975,1887.00
976,1887.00
977,1887.00
978,1887.00
979,1887.00
980,1887.00
981,1887.00
982,1888.00
983,1888.00
984,1886.00
985,1887.00
986,1887.00
987,1887.00
988,1886.00
989,1886.00
990,1887.00
991,1888.00
992,1889.00
993,1890.00
994,1890.00
995,1889.00
996,1889.00
997,1889.00
998,1889.00
999,1889.00
1000,1890.00
1001,1890.00
1002,1890.00
1003,1890.00
1004,1890.00
1005,1890.00
1006,1890.00
1007,1890.00
1008,1890.00
1009,1890.00
1010,1890.00
1011,1890.00
1012,1891.00
1013,1891.00
1014,1891.00
1015,1891.00
1016,1894.00
1017,1894.00
1018,1894.00
1019,1894.00
1020,1895.00
1021,1895.00
1022,1895.00
1023,1895.00
1024,1895.00
1025,1894.00
1026,1894.00
1027,1894.00
1028,1894.00
1029,1894.00
1030,1894.00
1031,1894.00
1032,1894.00
1033,1894.00
1034,1894.00
1035,1895.00
1036,1895.00
1037,1895.00
1038,1896.00
1039,1896.00
1040,1896.00
1041,1895.00
1042,1893.00
1043,1893.00
1044,1893.00
1045,1893.00
1046,1893.00
1047,1892.00
1048,1893.00
1049,1893.00
1050,1891.00
1051,1891.00
1052,1891.00
1053,1891.00
1054,1892.00
1055,1892.00
1056,1892.00
1057,1891.00
1058,1891.00
1059,1891.00
1060,1891.00
1061,1891.00
1062,1891.00
1063,1890.00
1064,1889.00
1065,1889.00
1066,1889.00
1067,1889.00
1068,1889.00
1069,1889.00
1070,1889.00
1071,1890.00
1072,1890.00
1073,1890.00
1074,1889.00
1075,1889.00
1076,1889.00
1077,1889.00
1078,1889.00
1079,1889.00
1080,1888.00
1081,1889.00
1082,1888.00
1083,1888.00
1084,1888.00
1085,1888.00
1086,1888.00
1087,1887.00
1088,1888.00
1089,1888.00
1090,1888.00
1091,1889.00
1092,1887.00
1093,1889.00
1094,1889.00
1095,1890.00
1096,1890.00
1097,1890.00
1098,1891.00
1099,1891.00
1100,1892.00
1101,1892.00
1102,1893.00
1103,1894.00
1104,1894.00
1105,1894.00
1106,1894.00
1107,1895.00
1108,1894.00
1109,1894.00
1110,1893.00
1111,1893.00
1112,1893.00
1113,1894.00
1114,1893.00
1115,1893.00
1116,1894.00
1117,1894.00
1118,1894.00
1119,1894.00
1120,1894.00
1121,1894.00
1122,1894.00
1123,1894.00
1124,1894.00
1125,1895.00
1126,1895.00
1127,1894.00
1128,1895.00
1129,1895.00
1130,1895.00
1131,1895.00
1132,1896.00
1133,1896.00
1134,1895.00
1135,1895.00
1136,1895.00
1137,1895.00
1138,1894.00
1139,1893.00
1140,1893.00
1141,1893.00
1142,1893.00
1143,1892.00
1144,1892.00
1145,1891.00
1146,1891.00
1147,1891.00
1148,1891.00
1149,1894.00
1150,1894.00
1151,1893.00
1152,1893.00
1153,1893.00
1154,1891.00
1155,1891.00
1156,1891.00
1157,1891.00
1158,1891.00
1159,1891.00
1160,1891.00
1161,1891.00
1162,1892.00
1163,1892.00
1164,1892.00
1165,1893.00
1166,1894.00
1167,1893.00
1168,1892.00
1169,1892.00
1170,1892.00
1171,1891.00
1172,1891.00
1173,1891.00
1174,1893.00
1175,1893.00
1176,1894.00
1177,1893.00
1178,1893.00
1179,1893.00
1180,1893.00
1181,1893.00
1182,1892.00
1183,1892.00
1184,1892.00
1185,1893.00
1186,1893.00
1187,1894.00
1188,1894.00
1189,1894.00
1190,1894.00
1191,1894.00
1192,1894.00
1193,1894.00
1194,1894.00
1195,1894.00
1196,1893.00
1197,1893.00
1198,1892.00
1199,1892.00
1200,1892.00
1201,1893.00
1202,1893.00
1203,1893.00
1204,1893.00
1205,1893.00
1206,1893.00
1207,1893.00
1208,1894.00
1209,1894.00
1210,1894.00
1211,1894.00
1212,1894.00
1213,1894.00
1214,1895.00
1215,1895.00
1216,1896.00
1217,1897.00
1218,1897.00
1219,1897.00
1220,1897.00
1221,1896.00
1222,1896.00
1223,1896.00
1224,1897.00
1225,1897.00
1226,1898.00
1227,1897.00
1228,1898.00
1229,1898.00
1230,1898.00
1231,1897.00
1232,1897.00
1233,1898.00
1234,1898.00
1235,1898.00
1236,1898.00
1237,1897.00
1238,1897.00
1239,1896.00
1240,1896.00
1241,1896.00
1242,1896.00
1243,1896.00
1244,1896.00
1245,1896.00
1246,1894.00
1247,1895.00
1248,1895.00
1249,1895.00
1250,1895.00
1251,1895.00
1252,1896.00
1253,1896.00
1254,1895.00
1255,1895.00
1256,1895.00
1257,1896.00
1258,1896.00
1259,1894.00
1260,1893.00
1261,1893.00
1262,1892.00
1263,1892.00
1264,1892.00
1265,1892.00
1266,1892.00
1267,1891.00
1268,1892.00
1269,1892.00
1270,1892.00
1271,1892.00
1272,1892.00
1273,1893.00
1274,1893.00
1275,1893.00
1276,1893.00
1277,1893.00
1278,1891.00
1279,1891.00
1280,1891.00
1281,1891.00
1282,1890.00
1283,1890.00
1284,1890.00
1285,1890.00
1286,1890.00
1287,1891.00
1288,1891.00
1289,1891.00
1290,1891.00
1291,1891.00
1292,1890.00
1293,1891.00
1294,1890.00
1295,1890.00
1296,1890.00
1297,1890.00
1298,1890.00
1299,1890.00
1300,1889.00
1301,1888.00
1302,1888.00
1303,1887.00
1304,1887.00
1305,1887.00
1306,1888.00
1307,1888.00
1308,1888.00
1309,1888.00
1310,1888.00
1311,1887.00
1312,1887.00
1313,1886.00
1314,1886.00
1315,1886.00
1316,1887.00
1317,1889.00
1318,1889.00
1319,1889.00
1320,1888.00
1321,1888.00
1322,1889.00
1323,1890.00
1324,1890.00
1325,1890.00
1326,1890.00
1327,1891.00
1328,1890.00
1329,1891.00
1330,1890.00
1331,1890.00
1332,1890.00
1333,1890.00
1334,1889.00
1335,1889.00
1336,1889.00
1337,1889.00
1338,1889.00
1339,1889.00
1340,1889.00
1341,1888.00
1342,1888.00
1343,1888.00
1344,1888.00
1345,1888.00
1346,1887.00
1347,1887.00
1348,1887.00
1349,1887.00
1350,1887.00
1351,1888.00
1352,1888.00
1353,1888.00
1354,1888.00
1355,1889.00
1356,1889.00
1357,1889.00
1358,1889.00
1359,1889.00
1360,1889.00
1361,1889.00
1362,1887.00
1363,1887.00
1364,1887.00
1365,1887.00
1366,1887.00
1367,1887.00
1368,1887.00
1369,1886.00
1370,1886.00
1371,1886.00
1372,1885.00
1373,1885.00
1374,1885.00
1375,1885.00
1376,1886.00
1377,1886.00
1378,1886.00
1379,1886.00
1380,1886.00
1381,1886.00
1382,1886.00
1383,1885.00
1384,1885.00
1385,1884.00
1386,1884.00
1387,1883.00
1388,1883.00
1389,1883.00
1390,1884.00
1391,1884.00
1392,1884.00
1393,1885.00
1394,1884.00
1395,1883.00
1396,1883.00
1397,1884.00
1398,1885.00
1399,1884.00
1400,1884.00
1401,1884.00
1402,1884.00
1403,1884.00
1404,1885.00
1405,1885.00
1406,1884.00
1407,1883.00
1408,1883.00
1409,1883.00
1410,1883.00
1411,1883.00
1412,1883.00
1413,1883.00
1414,1883.00
1415,1883.00
1416,1883.00
1417,1883.00
1418,1883.00
1419,1883.00
1420,1883.00
1421,1883.00
1422,1883.00
1423,1883.00
1424,1883.00
1425,1883.00
1426,1883.00
1427,1883.00
1428,1882.00
1429,1882.00
1430,1882.00
1431,1882.00
1432,1882.00
1433,1881.00
1434,1881.00
1435,1882.00
1436,1882.00
1437,1882.00
1438,1881.00
1439,1881.00
1440,1881.00
1441,1881.00
1442,1881.00
1443,1881.00
1444,1881.00
1445,1880.00
1446,1880.00
1447,1881.00
1448,1881.00
1449,1881.00
1450,1882.00
1451,1882.00
1452,1882.00
1453,1882.00
1454,1882.00
1455,1881.00
1456,1881.00
1457,1881.00
1458,1881.00
1459,1880.00
1460,1881.00
1461,1882.00
1462,1883.00
1463,1883.00
1464,1885.00
1465,1885.00
1466,1885.00
1467,1886.00
1468,1887.00
1469,1887.00
1470,1888.00
1471,1888.00
1472,1888.00
1473,1887.00
1474,1887.00
1475,1887.00
1476,1889.00
1477,1889.00
1478,1889.00
1479,1889.00
1480,1888.00
1481,1888.00
1482,1888.00
1483,1888.00
1484,1889.00
1485,1889.00
1486,1889.00
1487,1889.00
1488,1889.00
1489,1888.00
1490,1888.00
1491,1888.00
1492,1888.00
1493,1888.00
1494,1889.00
1495,1890.00
1496,1890.00
1497,1890.00
1498,1890.00
1499,1890.00
1500,1890.00
1501,1890.00
1502,1890.00
1503,1890.00
1504,1890.00
1505,1888.00
1506,1889.00
1507,1889.00
1508,1888.00
1509,1888.00
1510,1887.00
1511,1887.00
1512,1887.00
1513,1885.00
1514,1884.00
1515,1884.00
1516,1884.00
1517,1883.00
1518,1883.00
1519,1884.00
1520,1885.00
1521,1885.00
1522,1885.00
1523,1884.00
1524,1884.00
1525,1884.00
1526,1884.00
1527,1884.00
1528,1884.00
1529,1884.00
1530,1884.00
1531,1884.00
1532,1885.00
1533,1885.00
1534,1885.00
1535,1884.00
1536,1884.00
1537,1884.00
1538,1885.00
1539,1886.00
1540,1886.00
1541,1886.00
1542,1885.00
1543,1885.00
1544,1885.00
1545,1886.00
1546,1886.00
1547,1886.00
1548,1886.00
1549,1885.00
1550,1884.00
1551,1885.00
1552,1885.00
1553,1885.00
1554,1885.00
1555,1885.00
1556,1884.00
1557,1884.00
1558,1885.00
1559,1885.00
1560,1885.00
1561,1885.00
1562,1885.00
1563,1885.00
1564,1885.00
1565,1885.00
1566,1884.00
1567,1883.00
1568,1883.00
1569,1883.00
1570,1884.00
1571,1884.00
1572,1883.00
1573,1883.00
1574,1884.00
1575,1884.00
1576,1885.00
1577,1884.00
1578,1884.00
1579,1884.00
1580,1884.00
1581,1886.00
1582,1886.00
1583,1886.00
1584,1886.00
1585,1887.00
1586,1887.00
1587,1887.00
1588,1888.00
1589,1887.00
1590,1887.00
1591,1887.00
1592,1887.00
1593,1887.00
1594,1887.00
1595,1888.00
1596,1889.00
1597,1889.00
1598,1889.00
1599,1889.00
1600,1888.00
1601,1888.00
1602,1889.00
1603,1889.00
1604,1889.00
1605,1889.00
1606,1889.00
1607,1889.00
1608,1889.00
1609,1889.00
1610,1889.00
1611,1888.00
1612,1888.00
1613,1886.00
1614,1887.00
1615,1887.00
1616,1886.00
1617,1886.00
1618,1886.00
1619,1885.00
1620,1885.00
1621,1885.00
1622,1885.00
1623,1885.00
1624,1885.00
1625,1885.00
1626,1885.00
1627,1885.00
1628,1885.00
1629,1886.00
1630,1885.00
1631,1885.00
1632,1886.00
1633,1886.00
1634,1886.00
1635,1885.00
1636,1885.00
1637,1885.00
1638,1885.00
1639,1885.00
1640,1884.00
1641,1884.00
1642,1884.00
1643,1883.00
1644,1883.00
1645,1884.00
1646,1884.00
1647,1884.00
1648,1885.00
1649,1885.00
1650,1885.00
1651,1884.00
1652,1884.00
1653,1884.00
1654,1884.00
1655,1885.00
1656,1886.00
1657,1886.00
1658,1886.00
1659,1886.00
1660,1885.00
1661,1885.00
1662,1885.00
1663,1885.00
1664,1884.00
1665,1884.00
1666,1884.00
1667,1884.00
1668,1884.00
1669,1884.00
1670,1883.00
1671,1882.00
1672,1881.00
1673,1880.00
1674,1881.00
1675,1880.00
1676,1880.00
1677,1880.00
1678,1880.00
1679,1880.00
1680,1880.00
1681,1881.00
1682,1881.00
1683,1881.00
1684,1881.00
1685,1883.00
1686,1883.00
1687,1883.00
1688,1882.00
1689,1883.00
1690,1882.00
1691,1882.00
1692,1882.00
1693,1884.00
1694,1884.00
1695,1884.00
1696,1884.00
1697,1884.00
1698,1883.00
1699,1883.00
1700,1883.00
1701,1883.00
1702,1882.00
1703,1882.00
1704,1882.00
1705,1883.00
1706,1883.00
1707,1883.00
1708,1883.00
1709,1883.00
1710,1883.00
1711,1883.00
1712,1883.00
1713,1882.00
1714,1882.00
1715,1882.00
1716,1882.00
1717,1883.00
1718,1883.00
1719,1883.00
1720,1882.00
1721,1882.00
1722,1883.00
1723,1883.00
1724,1883.00
1725,1883.00
1726,1883.00
1727,1883.00
1728,1883.00
1729,1883.00
1730,1881.00
1731,1881.00
1732,1880.00
1733,1880.00
1734,1880.00
1735,1881.00
1736,1881.00
1737,1880.00
1738,1880.00
1739,1880.00
1740,1880.00
1741,1880.00
1742,1880.00
1743,1880.00
1744,1881.00
1745,1881.00
1746,1882.00
1747,1882.00
1748,1882.00
1749,1881.00
1750,1881.00
1751,1881.00
1752,1880.00
1753,1879.00
1754,1879.00
1755,1881.00
1756,1881.00
1757,1881.00
1758,1881.00
1759,1882.00
1760,1882.00
1761,1882.00
1762,1882.00
1763,1882.00
1764,1882.00
1765,1883.00
1766,1883.00
1767,1883.00
1768,1883.00
1769,1883.00
1770,1883.00
1771,1883.00
1772,1883.00
1773,1883.00
1774,1883.00
1775,1884.00
1776,1884.00
1777,1884.00
1778,1884.00
1779,1884.00
1780,1883.00
1781,1883.00
1782,1884.00
1783,1884.00
1784,1885.00
1785,1886.00
1786,1886.00
1787,1886.00
1788,1886.00
1789,1886.00
1790,1885.00
1791,1885.00
1792,1885.00
1793,1886.00
1794,1887.00
1795,1886.00
1796,1887.00
1797,1887.00
1798,1886.00
1799,1886.00
1800,1886.00
1801,1886.00
1802,1886.00
1803,1886.00
1804,1887.00
1805,1887.00
1806,1887.00
1807,1887.00
1808,1887.00
1809,1887.00
1810,1887.00
1811,1887.00
1812,1887.00
1813,1887.00
1814,1886.00
1815,1886.00
1816,1886.00
1817,1886.00
1818,1886.00
1819,1887.00
1820,1885.00
1821,1885.00
1822,1885.00
1823,1885.00
1824,1886.00
1825,1886.00
1826,1886.00
1827,1887.00
1828,1887.00
1829,1887.00
1830,1887.00
1831,1887.00
1832,1887.00
1833,1885.00
1834,1885.00
1835,1885.00
1836,1885.00
1837,1885.00
1838,1886.00
1839,1886.00
1840,1886.00
1841,1886.00
1842,1886.00
1843,1886.00
1844,1886.00
1845,1885.00
1846,1884.00
1847,1884.00
1848,1883.00
1849,1883.00
1850,1883.00
1851,1883.00
1852,1883.00
1853,1883.00
1854,1883.00
1855,1883.00
1856,1883.00
1857,1883.00
1858,1883.00
1859,1884.00
1860,1884.00
1861,1884.00
1862,1884.00
1863,1884.00
1864,1884.00
1865,1884.00
1866,1883.00
1867,1883.00
1868,1881.00
1869,1880.00
1870,1880.00
1871,1880.00
1872,1880.00
